Name,Team,Minutes
Achmad Maulana Syarif,Arema,2176
Aditiya Daffa Al Haqi,Barito Putera,1095
Ahmad Rusadi,Madura United,1155
Alfriyanto Nico Saputro,Dewa United,1670
Althaf Indie Alrizky,Persis Solo,2247
Ananda Raehan Alief,PSM Makassar,1377
Arkhan Fikri,Arema,2409
Dede Sapari,Persik Kediri,1100
Dominikus Dion Oktawiawan Wibowo,PSS Sleman,2019
Ferian Rizki Maulana,Dewa United,1184
Firman Juliansyah,Semen Padang,1581
Gala Pagamo,Semen Padang,1237
Hokky Caraka Bintang Brilliant,PSS Sleman,1093
Ikwan Ali Tanamal,Persita Tangerang,1022
Jeam Kelly Sroyer,PSBS Biak,1880
Kadek Arel Priyatna,Bali United,1452
Kakang Rudianto,Persib Bandung,1932
Mikael Alfredo Tata,Persebaya Surabaya,1015
Muhammad Badrian Ilham,Persita Tangerang,959
Muhammad Fajar Fathurrahman,Borneo FC,2819
Muhammad Ferarri,Persija Jakarta,1683
Muhammad Ramadhan Sananta,Persis Solo,1616
Muhammad Rayhan Hannan,Persija Jakarta,1011
Muhammad Riski Afrisal,Madura United,1037
Rahmat Arjuna Reski,Bali United,1747
Ricky Pratama,PSM Makassar,1329
Ridho Syuhada Putra,PSIS Semarang,1200
Rivaldo Enero Pakpahan,Borneo FC,1759
Salim Akbar Tuharea,Arema,1384
Toni Firmansyah,Persebaya Surabaya,1092
Tri Setiawan,PSIS Semarang,1640
Victor Jonson Benjamin Dethan,PSM Makassar,1506
Yardan Yafi,Persita Tangerang,1300
Zanadin Fariz,Persis Solo,1214
