Team,Total Passes,Total Progressive Passes,Progressive Pass Success,gross_xT (risk taker),clean_xT (top creator)
Semen Padang FC,Angelo Rafael Teixeira Alpoim Meneses,Leo Guntara,Leo Guntara,Pedro Ricardo Rodrigues de Matos,Leo Guntara
PERSITA,Tamirlan Kozubaev,Mario Jardel,Mario Jardel,Rayco Rodríguez Medina,Pablo Ganet Comitre
Madura United FC,Pedro Filipe Tinoco Monteiro,Roger Bonet Badia,Pedro Filipe Tinoco Monteiro,Luiz Marcelo Morais dos Reis,Luiz Marcelo Morais dos Reis
Dewa United Banten FC,Alexis Nahuel Messidoro,Alexis Nahuel Messidoro,Alexis Nahuel Messidoro,Alexis Nahuel Messidoro,Alexis Nahuel Messidoro
PSIM Yogyakarta,Jose Pedro Magalhaes Valente ,Jose Pedro Magalhaes Valente ,Jose Pedro Magalhaes Valente ,Jose Pedro Magalhaes Valente ,Jose Pedro Magalhaes Valente 
PERSIB,Patricio Martin Matricardi,Thom Jan Marinus Haye,Thom Jan Marinus Haye,Thom Jan Marinus Haye,Thom Jan Marinus Haye
PSBS Biak,Sandro Sene Aníbal Embalo,Pablo Andrade Plaza da Silva,Sandro Sene Aníbal Embalo,Pablo Andrade Plaza da Silva,Pablo Andrade Plaza da Silva
Borneo FC Samarinda,Christophe Nduwarugira,Westherley Garcia Nogueira,Christophe Nduwarugira,Mariano Ezequiel Peralta Bauer,Mariano Ezequiel Peralta Bauer
PERSIK Kediri,Imanol Garcia Lugea,Ezra Harm Ruud Walian,Francisco Pereira Carneiro,Ezra Harm Ruud Walian,Ezra Harm Ruud Walian
PERSEBAYA Surabaya,Milos Raickovic,Arief Catur Pamungkas,Arief Catur Pamungkas,Francisco Israel Rivera Davalos,Arief Catur Pamungkas
PERSIJA,Rizky Ridho Ramadhani,Rizky Ridho Ramadhani,Rizky Ridho Ramadhani,Allano Brendon de Souza Lima,Allano Brendon de Souza Lima
PSM Makassar,Victor Luiz Prestes Filho,Victor Luiz Prestes Filho,Victor Luiz Prestes Filho,Victor Luiz Prestes Filho,Victor Luiz Prestes Filho
Arema FC,Luiz Gustavo Tavares Conde,Paulo Roberto Moccelin,Luiz Gustavo Tavares Conde,Paulo Roberto Moccelin,Paulo Roberto Moccelin
Bali United FC,Tim Charles Pieter Receveur,Thijmen Goppel,Ricky Fajrin Saputra,Thijmen Goppel,Thijmen Goppel
PERSIJAP,Diogo Araújo Brito,Rahmat Hidayat,Rahmat Hidayat,Alexis Nahuel Gómez,Alexis Nahuel Gómez
Malut United FC,Igor Inocencio de Oliveira,Igor Inocencio de Oliveira,Igor Inocencio de Oliveira,Igor Inocencio de Oliveira,Igor Inocencio de Oliveira
PERSIS,Xandro Dylan Schenk,Giovani Jorim Herzon Dacosta Numberi,José Cleylton de Morais dos Santos,Jordy Soleman Gradus Tutuarima,Giovani Jorim Herzon Dacosta Numberi
Bhayangkara Presisi Lampung FC,Nehar Sadiki,Firza Andika,Firza Andika,Firza Andika,Firza Andika
