Club Name,Registered,in Liga 1,in Club,in Other Liga 1,in Liga 2,Players with Minutes,Played in Liga 1,Played in Club,Played in Other Liga 1,Played in Liga 2,Played in Liga 2 Regular Teams,Played in Liga 2 Playoff Teams,Played in Liga 2 Final Teams,Adj Total Games,Adj Total Minutes,Adj Minutes in Liga 1,Adj Minutes in Club,Adj Minutes in Other Liga 1,Adj Minutes in Liga 2,Adj Minutes in Liga 2 Regular Teams,Adj Minutes in Liga 2 Playoff Teams,Adj Minutes in Liga 2 Final Teams,Total Minutes,Total Games,Minutes in Liga 1,Minutes in Club,Minutes in Other Liga 1,Minutes in Liga 2,Minutes in Liga 2 Regular,Minutes in Liga 2 Playoff,Minutes in Liga 2 Final
Semen Padang,14,8,4,4,6,13,7,3,3,6,3,2,1,177,10442,4042,1539,2503,6400,2640,2783,977,10964,183,4042,1539,2503,6922,3162,2783,977
Malut United,10,6,6,0,4,4,0,0,0,4,4,0,0,48,3244,0,0,0,3244,3244,0,0,3244,48,0,0,0,3244,3244,0,0
Persik Kediri,16,7,4,3,9,12,5,3,2,7,7,0,0,107,5347,2032,1917,115,3315,3315,0,0,5693,114,2053,1917,136,3640,3640,0,0
Persis Solo,21,17,9,8,4,16,12,5,6,4,4,0,0,141,7711,6141,3500,2641,1570,1570,0,0,10642,199,8715,4856,3859,1927,1927,0,0
PSBS Biak,2,2,2,0,0,2,2,2,1,0,0,0,0,4,139,139,139,0,0,0,0,0,139,4,139,139,0,0,0,0,0
Bhayangkara Presisi Lampung FC,38,18,4,14,20,32,14,2,12,18,13,5,0,298,15471,5912,167,5745,9559,6276,3283,0,16977,338,6695,299,6396,10282,6668,3614,0
Persita Tangerang,27,18,15,3,9,18,11,8,3,7,5,2,0,203,8600,5134,2802,2332,3466,1514,1952,0,8663,208,5158,2826,2332,3505,1553,1952,0
Persebaya Surabaya,33,21,13,8,12,30,18,11,6,12,9,3,0,342,19905,14793,10077,4716,5112,3956,1156,0,20961,362,15610,10287,5323,5351,4060,1291,0
Persijap Jepara,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali United,34,16,10,6,18,28,11,5,6,17,8,7,2,265,13718,7137,4643,2494,6581,2273,3389,919,15351,298,8635,4643,3992,6716,2402,3395,919
Arema,11,4,3,1,7,7,2,1,2,5,5,0,0,67,3414,752,735,17,2662,2662,0,0,3414,67,752,735,17,2662,2662,0,0
Persija Jakarta,61,29,9,20,32,55,23,6,17,32,21,6,5,730,45953,20924,3802,17122,25029,19552,3247,2230,48157,778,21991,4045,17946,26166,20238,3443,2485
PSIM Yogyakarta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madura United,7,2,1,1,5,5,1,1,0,4,3,1,0,60,2785,22,22,0,2763,1355,1408,0,2989,68,22,22,0,2967,1559,1408,0
Persib Bandung,44,28,9,19,16,34,19,5,13,15,11,3,1,445,26215,16904,3781,13123,9311,6641,2415,255,28598,504,18972,3781,15191,9626,6695,2421,510
Dewa United,29,8,6,2,21,21,2,1,1,19,13,2,4,201,10608,749,165,584,9859,3304,2461,4094,11600,221,913,329,584,10687,4126,2461,4100
PSM Makassar,21,15,11,4,6,17,11,8,4,6,4,2,0,217,12089,7296,7011,285,4793,4521,272,0,12300,224,7507,7011,496,4793,4521,272,0
Borneo FC,31,18,10,8,13,24,13,6,7,11,9,0,2,221,11170,6642,4627,2015,4528,3520,0,1008,13252,266,7913,4838,3075,5339,4325,0,1014
