no,Klub,Registered HGP,HGP with minutes,> 900,HGP minutes,%
6,PSM Makassar,12,9,5,8363,24.85
4,Persebaya Surabaya,8,5,4,6793,20.18
7,Persija Jakarta,13,10,3,6611,19.64
17,Barito Putera,15,9,4,6524,19.38
11,Persita Tangerang,16,10,4,6500,19.31
18,PSIS Semarang,10,8,2,5245,15.58
8,Bali United,13,10,2,4869,14.47
1,Persib Bandung,8,6,2,4697,13.95
14,Persis Solo,6,4,2,4207,12.50
16,PSS Sleman,14,6,2,3857,11.46
13,Semen Padang,8,5,1,2066,6.14
5,Borneo FC,7,6,0,1434,4.26
2,Dewa United,5,2,1,1167,3.47
10,Arema FC,5,4,0,903,2.68
15,Madura United,3,2,0,386,1.15
9,PSBS Biak,1,1,0,31,0.09
12,Persik Kediri,3,1,0,1,0.00
3,Malut United,0,0,0,0,0.00
