0.000,0.001,0.002,0.002,0.001,0.003,0.004,0.003,0.003,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.010,0.010,0.009,0.016,0.033
0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.010,0.011,0.012,0.013,0.017,0.023
0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.006,0.006,0.006,0.006,0.008,0.010,0.012,0.014,0.015,0.019,0.020,0.019
0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.006,0.006,0.006,0.006,0.007,0.009,0.010,0.014,0.018,0.019,0.024,0.025,0.022
0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.009,0.010,0.011,0.016,0.022,0.025,0.030,0.033,0.032
0.003,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.009,0.011,0.013,0.017,0.025,0.032,0.040,0.045,0.044
0.005,0.008,0.008,0.006,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.009,0.011,0.014,0.019,0.026,0.040,0.053,0.073,0.098
0.017,0.012,0.008,0.006,0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.008,0.009,0.011,0.015,0.021,0.031,0.046,0.068,0.143,0.273
0.025,0.015,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.006,0.008,0.010,0.011,0.015,0.022,0.033,0.049,0.075,0.184,0.377
0.017,0.012,0.008,0.006,0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.008,0.009,0.011,0.015,0.021,0.031,0.046,0.068,0.143,0.273
0.005,0.008,0.008,0.006,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.009,0.011,0.014,0.019,0.026,0.040,0.053,0.073,0.098
0.003,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.009,0.011,0.013,0.017,0.025,0.032,0.040,0.045,0.044
0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.009,0.010,0.011,0.016,0.022,0.025,0.030,0.033,0.032
0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.006,0.006,0.006,0.006,0.007,0.009,0.010,0.014,0.018,0.019,0.024,0.025,0.022
0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.006,0.006,0.006,0.006,0.008,0.010,0.012,0.014,0.015,0.019,0.020,0.019
0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.010,0.011,0.012,0.013,0.017,0.023
0.000,0.001,0.002,0.002,0.001,0.003,0.004,0.003,0.003,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.010,0.010,0.009,0.016,0.033
